X,Y
-3.9700529482766607,-4.266186586775328
15.261443802665047,12.609158839974544
-6.70167522948765,29.098301674983773
-52.0954626911015,-11.071468454138149
-15.232077399274853,-10.206158547216734
23.287836575831747,-15.072272417424752
-42.82940612317357,30.866042673899805
-16.406945174888982,-9.276714313756496
-42.25109428536726,-16.472567831068368
-28.8786598745356,3.202510533332319
10.517626871330052,4.537830646583538
-18.64960038202435,-12.814922010392433
-52.858330395780264,39.24780425951202
-55.00697122693471,-2.948923743152964
-22.291277067865206,60.57943758223803
-16.60112718666079,20.266561061832274
-52.85649933708449,24.658214122960786
-36.551698135479995,2.8818257130323133
-53.548346813370614,-16.556812787316368
-77.39606975362163,-21.73996749027705
-87.0866984193513,17.961619488017874
-35.02304977019762,15.543989740050518
-44.259838777454,-1.4443141801248913
-68.47154047071922,57.446777374020655
-22.20982211658601,-9.523708961373568
-46.0702725565011,18.527643715768914
-83.51181965090186,36.53146798910092
-72.5561693472375,35.52654661859517
-54.669262780626134,-2.1830250291805235
-58.36635992045797,8.67653012445496
-30.009539831392484,43.305828842674735
-73.72259311622852,-6.923390140362534
-4.991158618458726,-15.448069067673238
-106.17624080297769,21.89301607550233
-47.693436572331834,54.47084237521802
-23.863746118657247,-41.112329141247564
-48.05875189596769,-31.97768577821033
-91.86049422193456,16.617884873301065
-57.39459953685024,-36.86349416513515
-32.97498004619805,-28.94402345436482
-80.56741894324304,-40.4620630180318
-94.12613631711123,-53.42534567068793
-38.93837809724454,52.203777686130195
-77.80999955597308,-41.53366900488179
-63.334705892683495,-36.1107119343688
-52.27012272095036,31.089477712651092
-59.415071312197554,-3.94397019677128
-81.580222194924,-61.964077362585996
-94.75672535124497,1.691881991007011
-43.595699537624625,-22.602714057184283
-70.88873512765306,-20.24888915028907
-94.2492009919834,2.156415842445189
-107.8419728176391,-18.111312244425136
-59.21026711301943,-9.413127739683933
-100.73229040350904,-44.75720624031078
-116.86157160481154,-11.141226510851828
-94.9610000219231,-15.756934984191112
-104.23186253989947,-11.156900440546174
-132.85967893622353,-34.135013358055794
-101.45927880198481,-43.986480328226435
-170.88754310724886,-28.268195149261906
-112.17082724613772,56.98397340344915
-64.46129634314863,59.81919086645371
-90.71600131826297,-12.956715599209701
-111.37965725965071,19.766662461968973
-91.13359858562546,54.17361517261457
-104.25728378357441,10.222061069961152
-114.57320509016401,20.317049124681528
-36.25231208485752,26.288017512395687
-98.28845189617749,43.82993684219333
-109.69383541548558,0.06588304332687756
-82.48796661759488,57.890327753501886
-113.88820058876911,5.656044069691738
-98.4722886574512,17.05871032984688
-107.1759338883982,29.63429757728263
-115.64629299228694,41.576908602510564
-77.4191079817434,49.99048972033124
-63.26738139450866,67.88001441877391
-86.9242536629768,40.22516736234633
-96.9041159657811,43.06868507943643
-49.524326941616344,53.37546974442688
-105.31924282130645,74.89392697318948
-100.59500614794999,32.08778351944547
-121.6537534178283,75.1636155965783
-111.9534410322698,36.04325231661632
-69.29456734758948,39.26850342188604
-91.83585533434912,104.94988425666861
-108.53590177361173,79.61812464813667
-92.87502504330686,67.80236774424532
-42.44058973054473,85.1554014224606
-107.24259995315181,64.97929903041539
-76.91963624133427,112.35259158824061
-110.2192794792675,90.20703903331008
-87.76132803464162,79.14875424139542
-123.4401968691222,63.56801862654236
-88.32081119273175,78.95452779694646
-108.42424830927416,123.59812859489516
